,date,num_orders
190,2020-12-08,8359
191,2020-12-09,7899
192,2020-12-10,6398
193,2020-12-11,5989
194,2020-12-12,9867
195,2020-12-13,9242
196,2020-12-14,9077
197,2020-12-15,8258
198,2020-12-16,7352
199,2020-12-17,6527
200,2020-12-18,5574
201,2020-12-19,8001
202,2020-12-20,7219
203,2020-12-21,6237
204,2020-12-22,3731
205,2020-12-23,2896
206,2020-12-24,1348
207,2020-12-25,2363
208,2020-12-26,4164
209,2020-12-27,7553
210,2020-12-28,7259
211,2020-12-29,6365
212,2020-12-30,5473
213,2020-12-31,3118
214,2021-01-01,4075
215,2021-01-02,7712
216,2021-01-03,8378
217,2021-01-04,8608
218,2021-01-05,7916
219,2021-01-06,6911
220,2021-01-07,6120
221,2021-01-08,5032
222,2021-01-09,7914
223,2021-01-10,8859
224,2021-01-11,7791
225,2021-01-12,7997
226,2021-01-13,7231
227,2021-01-14,6022
228,2021-01-15,5687
229,2021-01-16,8427
230,2021-01-17,8340
231,2021-01-18,9534
232,2021-01-19,8401
233,2021-01-20,7513
234,2021-01-21,6215
235,2021-01-22,6334
236,2021-01-23,8610
237,2021-01-24,8564
238,2021-01-25,8195
239,2021-01-26,8213
240,2021-01-27,7029
241,2021-01-28,5887
242,2021-01-29,6682
243,2021-01-30,11304
244,2021-01-31,10441
